gene_symbol	ensembl_gene_id	description	module	degree	hub_score	max_diff	padj	protein_atlas	gene_cards	receptor	uro_receptor	keep	go_terms	go_condensed	mean_expr_UroA	mean_expr_UroB	mean_expr_UroC	mean_expr_GU	mean_expr_BaSq	rwr_score
GAB2	ENSG00000033327	GRB2 associated binding protein 2	2	134	0.29	1.03	4.3e-17	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.320608457955014	-0.466655102808643	0.120960445491281	0.566488862385934	-0.454582290254066	0.00145812654343395
HBEGF	ENSG00000113070	heparin binding EGF like growth factor	2	134	0.32	1.5	1.9e-29	missing	NA	NA	NA	review	bladder disease	Bladder-related	-0.410923986701168	0.34767702384391	-0.237709113542283	-0.159823411377124	1.09234070667669	0.00454512634760147
IRS1	ENSG00000169047	insulin receptor substrate 1	2	246	0.53	1.85	6.9e-70	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.669618983801456	0.332334232611396	-0.0173306256931448	-1.18165705673636	-0.166781190472278	0.00513683226496421
NGFR	ENSG00000064300	nerve growth factor receptor	2	152	0.32	1.16	3.3e-25	uro_cells	NA	NA	NA	yes	bladder disease	Bladder-related	-0.51607664830491	-0.112971593881921	0.186121057954457	-0.272662620721337	0.648324151327763	0.00169804773749151
NRAS	ENSG00000213281	NRAS proto-oncogene, GTPase	2	246	0.49	1.19	1e-11	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.101797589040037	-0.403541397889614	-0.691782592461225	0.499721339455956	0.485716299297238	0.00531222804639619
PDGFRB	ENSG00000113721	platelet derived growth factor receptor beta	2	238	0.5	1.2	2.5e-34	stromal_cells	NA	NA	NA	no	Not annotated	Not annotated	-0.637961776255636	-0.328533887686443	0.530738322875829	0.0514536310053001	0.55911095555204	0.0031883894826431
PIK3CD	ENSG00000171608	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	2	168	0.33	1.09	2.6e-26	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.590027227811465	0.121696564690876	0.220135120045967	-0.22866942222191	0.497862589414525	0.0046792424266182
PIK3CG	ENSG00000105851	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	2	108	0.24	1	7.5e-23	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.546023500605415	0.153046052194994	0.109593703352577	-0.219932742058579	0.454047151008428	0.00130295833233819
PIK3R2	ENSG00000105647	phosphoinositide-3-kinase regulatory subunit 2	2	204	0.4	1.19	5.9e-27	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.588835846626511	0.211367755694784	-0.1049497285356	-0.477256739991262	-0.603360754106158	0.00496964286322825
PRKCZ	ENSG00000067606	protein kinase C zeta	2	134	0.29	1.18	1.6e-35	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.628319520527135	0.255423563509461	-0.291129743462562	-0.116090263781608	-0.555935734126971	0.0014003230294827
RPS27A	ENSG00000143947	ribosomal protein S27a	2	196	0.38	1.02	4.2e-14	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.389512119662728	0.061314864956266	0.052667860121271	-0.628210512895261	-0.0735919328210025	0.00494108377528323
VEGFC	ENSG00000150630	vascular endothelial growth factor C	2	114	0.27	1.29	3.6e-23	ambiguous	NA	NA	NA	review	urinary bladder cancer; bladder carcinoma	Bladder-related	-0.518115396670131	-0.12306713665736	0.109743754511848	0.152735780694591	0.774303326455629	0.00436916387940744
ARRB1	ENSG00000137486	arrestin beta 1	3	102	0.21	1.24	2e-26	ligand	NA	NA	NA	review	Not annotated	Not annotated	-0.362112246219475	-0.437162404973013	0.506420833354666	0.7710537720746	-0.468045517450286	0.00123726621805389
ARRB2	ENSG00000141480	arrestin beta 2	3	106	0.2	1.21	1.8e-42	ligand	NA	NA	NA	review	Not annotated	Not annotated	-0.754321716742537	0.0168406402789404	-0.0492283260128542	0.442923677553975	0.453527464857666	0.00126255142627471
CTNND1	ENSG00000198561	catenin delta 1	3	88	0.19	1.07	1.8e-26	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.590659063622116	0.254724956501808	0.0533302613007993	-0.477285156202424	-0.104446351203508	0.00230730658158802
CTTN	ENSG00000288401	cortactin	3	96	0.2	1.06	3.6e-24	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.55666262357635	0.395010786277779	-0.0319808427093733	-0.498435201474541	-0.223467055724213	0.00129255846435922
DNM2	ENSG00000079805	dynamin 2	3	70	0.14	1.73	1.7e-54	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.759706711677552	0.073538898891238	0.0715976218247899	-0.200102125772348	-0.972331041236642	0.00218836352807487
ITGB2	ENSG00000160255	integrin subunit beta 2	3	94	0.19	1.26	1.3e-35	stromal_cells	NA	NA	NA	no	Not annotated	Not annotated	-0.678519941770458	0.211144940404462	0.254122353868057	-0.0734929142194637	0.584417204642099	0.00117528001287463
LYN	ENSG00000254087	LYN proto-oncogene, Src family tyrosine kinase	3	204	0.43	1.36	9.3e-31	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.611565797524475	0.129920624601731	-0.35491812716735	0.254797138464607	0.748410496370672	0.00177458123818128
MAPT	ENSG00000277956	microtubule associated protein tau	3	82	0.18	1.01	8.5e-08	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.228443543197661	-0.330571821252764	0.676653217275698	0.231864404084712	-0.274367950339648	0.00116175170927055
NCK1	ENSG00000158092	NCK adaptor protein 1	3	112	0.22	1.83	1e-41	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.398657472095615	0.202434079679104	-0.388368839679536	-0.393581952190391	1.42720975451271	0.00340535589565015
PLEK	ENSG00000115956	pleckstrin	3	86	0.2	1.36	8.4e-44	stromal_cells	NA	NA	NA	no	Not annotated	Not annotated	-0.725666217015124	0.196357472386175	0.25966715186211	0.0122723940734359	0.638333548510304	0.00117857547684999
PPP2CA	ENSG00000113575	protein phosphatase 2 catalytic subunit alpha	3	122	0.26	1.11	1.8e-10	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.272600014328208	0.0755586286649918	-0.238352050444478	-0.419048221808484	0.689819609009751	0.00135299179580886
PPP2R1A	ENSG00000105568	protein phosphatase 2 scaffold subunit Aalpha	3	120	0.25	1.12	1.2e-09	missing	bladder_related	NA	NA	yes	Not annotated	Not annotated	0.353558286831053	-0.0465741940694033	0.427427855861086	-0.00164743018313566	-0.690966066032604	0.00135848050881572
PTK2	ENSG00000169398	protein tyrosine kinase 2	3	212	0.47	1.11	2.2e-21	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.538778232944073	0.0479109943904051	0.258762152724426	-0.26010588852357	-0.571212385214332	0.00302198028217989
PTK2B	ENSG00000120899	protein tyrosine kinase 2 beta	3	116	0.25	1.11	4.4e-20	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.485263448017297	0.15837894610144	-0.269578170280333	-0.620761710026739	-0.186154144677491	0.00439396913985498
PXN	ENSG00000089159	paxillin	3	186	0.4	1.29	1.5e-30	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.544346467150901	0.108819083014379	0.150687266282127	-0.749164519550012	-0.153698678809386	0.00292114733309663
RAC2	ENSG00000128340	Rac family small GTPase 2	3	116	0.23	1.11	3.2e-18	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.427985618759732	0.159201180922905	0.104122148784173	-0.341515086553883	0.683827449581918	0.00136174878788916
SNCA	ENSG00000145335	synuclein alpha	3	90	0.2	1.09	2.7e-16	missing	bladder_related	NA	NA	yes	Not annotated	Not annotated	-0.527632820006227	0.0210724356287277	0.227960047303332	-0.108769124219427	0.56161487403717	0.00117240483806028
SRC	ENSG00000291971	SRC proto-oncogene, non-receptor tyrosine kinase	3	470	0.88	1.24	7.5e-18	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.469393645720815	0.147956537843772	0.454332951815782	0.0155989444581564	-0.767133530109263	0.00627407897707845
AKT3	ENSG00000275199	AKT serine/threonine kinase 3	4	116	0.26	1	5.6e-18	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.574673660767738	-0.281909538987868	0.425665410337283	0.191145627685025	0.240285842371141	0.00256375792120466
ANXA5	ENSG00000164111	annexin A5	4	220	0.49	1.38	5.3e-24	ambiguous	bladder_related	NA	NA	yes	Not annotated	Not annotated	-0.557612394677951	0.0799863396696468	-0.021537613842872	-0.220234202934947	0.823196716318708	0.00282304939351404
BRCA1	ENSG00000012048	BRCA1 DNA repair associated	4	156	0.34	1.28	1.9e-31	uro_cells	NA	NA	NA	yes	urinary bladder cancer	Bladder-related	-0.409609044022065	-0.379688888986125	-0.225447504451578	0.872071810525029	0.417734668446921	0.00266365051873552
CASP8	ENSG00000064012	caspase 8	4	150	0.35	1.09	1e-19	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.379136543090136	0.435225369394378	-0.137789373535615	-0.649951403104217	-0.255083555960751	0.00246616347830713
CASP9	ENSG00000132906	caspase 9	4	124	0.3	1.23	2.4e-14	uro_cells	NA	NA	NA	yes	urinary bladder cancer	Bladder-related	0.272138060517716	0.0342413509138135	0.0352138111392846	0.337186337329925	-0.891658769471055	0.00239311546006457
CCNA2	ENSG00000145386	cyclin A2	4	108	0.24	1.24	1.2e-31	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.424192124149493	-0.210992556313551	-0.439474649849291	0.7955907960597	0.647470592611836	0.00237072101828717
CCNB1	ENSG00000134057	cyclin B1	4	112	0.24	1.16	9.4e-30	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.388814076070599	-0.237555911416253	-0.23954033740764	0.735177390665443	0.774133490193565	0.00236439245431027
CCND1	ENSG00000110092	cyclin D1	4	306	0.62	1.44	3.5e-39	uro_cells	NA	NA	NA	yes	urinary bladder cancer; bladder carcinoma	Bladder-related	0.547006718308395	0.400644970477685	-0.259779364042628	-0.894177995310131	-0.0892280625939684	0.005413162614874
CDKN1A	ENSG00000124762	cyclin dependent kinase inhibitor 1A	4	162	0.37	1.06	2.3e-16	uro_cells	NA	NA	NA	yes	urinary bladder cancer	Bladder-related	0.440900690432234	0.0622134783566483	-0.250948412267402	-0.614397471253039	0.00607267457731317	0.00261215626326912
CDKN2A	ENSG00000147889	cyclin dependent kinase inhibitor 2A	4	222	0.5	1.24	8.2e-23	uro_cells	NA	NA	NA	yes	urinary bladder cancer; bladder carcinoma	Bladder-related	-0.318232324782598	-0.409949415388701	-0.258599374995325	0.830575808757518	-0.0302807301227239	0.00494909852868859
CREB1	ENSG00000118260	cAMP responsive element binding protein 1	4	176	0.41	1.07	1.4e-16	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.287236025734213	0.221154755117831	-0.234656608631951	-0.778932381031658	-0.163234209775072	0.00153617709028831
CTNNB1	ENSG00000168036	catenin beta 1	4	446	0.83	1.03	8.6e-22	uro_cells	NA	NA	NA	yes	urinary bladder cancer	Bladder-related	0.487580775008205	-0.140147634328461	0.0318754499051705	-0.542104064757568	-0.37946736944354	0.0061663952724813
EZH2	ENSG00000106462	enhancer of zeste 2 polycomb repressive complex 2 subunit	4	124	0.27	1.45	3.4e-50	uro_cells	NA	NA	NA	yes	urinary bladder cancer; bladder carcinoma	Bladder-related	-0.506704839129866	-0.333103955182357	-0.342518120470145	0.945874389949563	0.451447749978977	0.00242699575765241
FOXO1	ENSG00000150907	forkhead box O1	4	152	0.33	1.14	2.5e-26	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.467412738679037	-0.200142213366578	-0.284546183844877	-0.675588401379074	-0.436277803550094	0.00147447982408075
HIF1A	ENSG00000100644	hypoxia inducible factor 1 subunit alpha	4	296	0.61	1.58	5.2e-25	uro_cells	NA	NA	NA	yes	bladder disease	Bladder-related	0.110952083802164	0.255216213362394	-0.47764363228178	-0.83044219278898	0.751876225764521	0.00325499989409579
HSPA4	ENSG00000170606	heat shock protein family A (Hsp70) member 4	4	166	0.35	1.22	2.3e-26	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.589461421931034	0.158619111158408	0.0533444615364163	-0.63033334917219	-0.136498767062198	0.00256786454451179
HSPA5	ENSG00000044574	heat shock protein family A (Hsp70) member 5	4	98	0.24	1.38	1.1e-11	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.273495484732762	-0.14641165983072	-0.628093192928366	0.118971509251726	0.754807809068878	0.00118856155087502
MAPK3	ENSG00000102882	mitogen-activated protein kinase 3	4	416	0.8	1.06	1.5e-16	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.402721964651015	-0.293508166882662	0.255071540454685	0.653161230104929	-0.10669212659742	0.00590587434083443
MCL1	ENSG00000143384	MCL1 apoptosis regulator, BCL2 family member	4	124	0.3	1.46	2.4e-29	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.546948199791743	0.146268767981704	-0.596428339896535	0.182837005884077	0.86385292960178	0.00238554515582317
NPM1	ENSG00000181163	nucleophosmin 1	4	100	0.22	1.23	1.1e-22	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.414033294431147	-0.0538219321768411	0.0713593064045491	-0.78353224815715	0.44824988239784	0.00125797066935611
NR3C1	ENSG00000113580	nuclear receptor subfamily 3 group C member 1	4	122	0.29	1.37	2.6e-16	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.0879381795149876	-0.0584057988857702	-0.178793825145716	-0.789612659555855	0.582818261430783	0.00130622223392587
PGR	ENSG00000082175	progesterone receptor	4	134	0.32	1.26	1.2e-09	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.233371649874897	-0.195432475518397	0.862328591277334	-0.400763123593646	0.0236547429666748	0.00453329025020441
PPARG	ENSG00000132170	peroxisome proliferator activated receptor gamma	4	202	0.44	1.71	2.2e-76	uro_cells	NA	NA	NA	yes	urinary bladder cancer	Bladder-related	0.510359559340212	0.230757423065493	0.330546506958953	0.454982924416819	-1.19612560517322	0.00157920417159015
RB1	ENSG00000139687	RB transcriptional corepressor 1	4	106	0.24	1.2	2.5e-24	uro_cells	NA	NA	NA	yes	urinary bladder cancer	Bladder-related	0.299383214700157	0.230764852874322	0.274308400243066	-0.888812900448142	0.30923782038054	0.00127944566730156
SMAD3	ENSG00000166949	SMAD family member 3	4	190	0.41	1.47	3.9e-53	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.634620753301414	0.58119551950435	-0.261042016202688	-0.830637205673439	-0.222717480166886	0.00267821512528956
TP53	ENSG00000141510	tumor protein p53	4	430	0.83	1.38	2.6e-25	uro_cells	NA	NA	NA	yes	urinary bladder cancer; bladder carcinoma; bladder disease	Bladder-related	0.511002222128678	0.146911205801333	-0.266197422733514	-0.439234590001201	-0.868871498974459	0.00589572048414767
ANXA2	ENSG00000182718	annexin A2	5	76	0.19	1.93	5e-34	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.113443126691709	0.103722811792932	-0.518560262552585	-0.282855198272609	1.40973932903399	0.0010927279159739
BMP2	ENSG00000125845	bone morphogenetic protein 2	5	94	0.21	1.06	4.1e-25	ambiguous	bladder_related	NA	NA	review	Not annotated	Not annotated	0.581014357428114	-0.316999449262564	0.319529283201999	-0.438350282602445	-0.483372396559039	0.00125489917252425
BMP4	ENSG00000125378	bone morphogenetic protein 4	5	120	0.25	1.37	1.9e-14	uro_cells	NA	NA	NA	review	Not annotated	Not annotated	-0.512424798030288	-0.0150801648702108	0.85294181259252	0.102025107591292	-0.0344710188700653	0.00138174036064962
CAV1	ENSG00000105974	caveolin 1	5	210	0.45	1.52	1.2e-33	stromal_cells	NA	NA	NA	no	urinary bladder cancer; bladder carcinoma	Bladder-related	-0.478698665273285	-0.408049341684502	0.472416022367582	-0.16156318448276	1.0399832856752	0.00284965974224701
CD44	ENSG00000026508	CD44 molecule (IN blood group)	5	288	0.6	2.12	5.7e-48	uro_cells	NA	NA	NA	yes	urinary bladder cancer	Bladder-related	0.0236252837888723	0.227249824939191	-0.299430516590087	-1.08004587050628	1.04113584199263	0.00515065046821472
EPCAM	ENSG00000119888	epithelial cell adhesion molecule	5	88	0.22	1.14	5e-28	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.0482154303091333	-0.130243942748519	0.196274383751193	0.799505945025307	-0.338677835404734	0.00421054835818972
FN1	ENSG00000115414	fibronectin 1	5	348	0.69	1.23	1.6e-24	stromal_cells	NA	NA	NA	no	urinary bladder cancer	Bladder-related	-0.552996768003432	-0.405486812472549	0.259474594874806	0.126542413572905	0.68117097634643	0.00562136887093224
MKI67	ENSG00000148773	marker of proliferation Ki-67	5	106	0.26	1.11	2.1e-24	uro_cells	NA	NA	NA	yes	urinary bladder cancer; bladder disease	Bladder-related	-0.388750633650211	-0.321104070946923	-0.372161073071214	0.718608835690819	0.422758468444974	0.00232411021727641
